Code,Pillar,Pillar.Code,Subpillar,Subpillar.Code,Indicator,Indicator.Code,Subindicator,Subindicator.Short,Subindicator.Code,Definition,Notes,Example units,Original.Outcome,Negative Values,Sign,TC.Ratio,Not.Perc,Depreciated,Previous.Names
226,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Nitrogen,Soil N,SN,"Stock or concentration of soil nitrogen exact nature of the nitrogen is not clear (i.e. it is unknown if it is total, available, nitrate or ammonium) or is some other measure of nitrogen.",Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
226.1,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Total Nitrogen,Soil TN,STN,Stock or concentration of nitrogen in the soil reported as total nitrogen (TN).,Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
226.2,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Available Nitrogen,Soil AN,SAN,Stock or concentration of nitrogen in the soil reported as available nitrogen (NO3 + NH4).,Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
226.3,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil NO3,Soil NO3,SNO3,Stock or concentration of nitrogen in the soil reported as nitrate (NO3).,Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
226.4,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil NH4,Soil NH4,SNH4,Stock or concentration of nitrogen in the soil reported as ammonium (NH4).,Do not include % change data as compared to a baseline.,g/kg; kg/m3; mg/kg; %,,N,p,N,N,FALSE,
231,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Soil Moisture,Soil Moisture,SM,Amount of water in the soil.,"Do not include: water holding capacity, available water capacity, osmotic potential.
Include pressure details in parenthesis after units if presented , e.g. % (0.3 bar). Do not include % change data as compared to a baseline.",%; mm; v/v; g/g,,N,p,N,N,FALSE,
221,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Infiltration Rate,Infiltration,In,The rate of water movement into the soil.,Units should be volume/time.,mm/hr; cm/hr,,N,p,N,Y,FALSE,
228,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Cation Exchange Capacity,CEC,CEC,Soil cation exchange capacity.,Do not include % change data as compared to a baseline. Do not confuse with ECEC (effective CEC) or base saturation.,cmol/kg; cmolc/kg; meq/100g,,N,p,N,Y,FALSE,
228.1,Resilience,Resilience,Physical,Ph,Soil Quality,SQ,Effective Cation Exchange Capacity,ECEC,ECEC,Soil effective cation exchange capacity.,Do not include % change data as compared to a baseline. Do not confuse with CEC or base saturation.,cmol/kg; cmolc/kg; meq/100g,,N,p,N,Y,FALSE,
270,Resilience,Resilience,Physical,Ph,Yield Stability,YS,Yield Stability,Yield Stability,YS,The variability in yields between seasons or between years.,"Antilog any logged outcomes, ln(yield stablity) is often reported.",slope (b); CV,,N,p,N,Y,FALSE,
236.1,Resilience,Resilience,Physical,Ph,Animal Survival,AS,Animal Survival,Animal Survival,AS,Animal offspring that survive to production.,Do not use for plant survival.,%; N,,N,p,N,N,FALSE,
236.2,Resilience,Resilience,Physical,Ph,Animal Survival,AS,Animal Mortality,Animal Mortality,AM,Animals that do not survive.,,%; N,,N,n,N,N,FALSE,
232.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Water Use,WU,WU,Water used per area to produce crops.,"Use the units to note any complexities, in particular if the water use is only referring to irrigation water being used in irrgation experiments.",m3/ha; mm; mm/ha,,N,n,N,(Y),FALSE,
232.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Water Use Efficiency,WUE,WUE,Product produced or economic yield per unit water (includes rainfall).,,kg/ha/mm; kg/mm; kg/m3,,N,p,N,Y,FALSE,
232.3,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Depreciated -Water Use (Rain & Irrigation),,,Total water used to produce crops from irrigation & rainfall.,,m3/ha; mm; mm/ha,,N,n,N,(Y),TRUE,
232.4,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Depreciated - Water Use (Irrigation),,,Water used to produce crops from irrigation only.,,m3/ha; mm; mm/ha,,N,n,N,(Y),TRUE,
232.5,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Depreciated - Water Use (Unspecified),,,"Water used to produce crops, irrigation is present but it is unclear if water use includes rainfall or not.",,m3/ha; mm; mm/ha,,N,n,N,(Y),TRUE,
233,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (ARE Unspecificed),NUE (ARE Unsp.),NUE-A,"Apparent N recovery efficiency. Use this code if it is unclear whether above-ground biomass or a sub-component (e.g. grain) was used in calculations. Formula for a zero N control = (N.trt - N.cont)/N input, otherwise Formula = (N.Out.trt - N.Out.cont)/(N.Input.trt - N.Input.Cont).",Outcome is a ratio. The control is often a zero N treatment where no nitrogen fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,Y,FALSE,
233.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (ARE Product),NUE (ARE Prod),NUE-Ap,"Apparent N recovery efficiency in crop product component (e.g. grain). Formula for a zero N control = (N.treatment - N.control)/N input, otherwise Formula = (N.Out.trt - N.Out.cont)/(N.In.trt - N.In.Cont). 
",Outcome is a ratio. The control is often a zero N treatment where no nitrogen fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,N,FALSE,
233.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (ARE AGB),NUE (ARE AGB),NUE-Aag,"Apparent N recovery efficiency in crop above ground biomass (the whole plant, grain + biomass). Formula for a zero N control = (N.treatment - N.control)/N input, otherwise Formula = (N.Out.trt - N.Out.cont)/(N.In.trt - N.In.Cont).",Outcome is a ratio. The control is often a zero N treatment where no nitrogen fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,N,FALSE,
233.3,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (Isotopic Product),NUE (Iso Prod),NUE-Ip,"Nitrogen use efficiency of a crop product component (e.g., grain) measured using nitrogen-15 stable isotope methods. Formula =15N/N.input. The product component of the crop is used (e.g., grain).","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,,N,p,N,N,FALSE,
233.4,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (Isotopic AGB),NUE (Iso AGB),NUE-Iag,"Nitrogen use efficiency of aboveground biomass (the whole plant, grain + biomass) measured using nitrogen-15 stable isotope methods. Formula =15N/N.input.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,,N,p,N,N,FALSE,
233.5,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (PNB Product),NUE (PNB Prod),NUE-Pp,"Partial nitrogen balance of a crop product component (e.g., grain). Formula = N.product/N.input.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,,N,p,N,N,FALSE,
233.6,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Use Efficiency (PNB AGB),NUE (PNB AGB),NUE-Pag,"Partial nitrogen balance for crop aboveground biomass (the whole plant, grain + biomass). Formula = N.AGB/N.input.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,,N,p,N,Y,FALSE,
257.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Agronomic Efficiency,N AE (Prod),NAEp,"The yield change in the crop product component (e.g. grain) of the treatment compared to the control, per unit of nitrogen input. Formula = (Yt -Yc)/N. Also called Agronomic Effectiveness.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,,Y,p,Y,Y,FALSE,
257.3,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Agronomic Efficiency (AGB),N AE (AGB),NAEag,"The yield change in aboveground biomass (the whole plant, grain + biomass) of the treatment compared to the control, per unit of nitrogen input. Formula = (Yt -Yc)/N. Also called Agronomic Effectiveness.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,,Y,p,Y,Y,FALSE,
257.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen Factor Productivity,N TFP,NTFP,Crop yield divided by amount of nitrogen applied (Yield/N).,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg grain/kg N,,N,p,N,Y,FALSE,
238,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Nitrogen (Apparent Efficiency Animals Feed),Nitrogen (AE Animals),NAEan,Animal Products Only. Integration of N into production. Formula = N.retained/N.supplied.,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",%; g/g; g/kg,,N,p,N,N,FALSE,Nitrogen (Apparent Efficiency)
234,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Phosphorus Use Efficiency (ARE Unspecified),PUE (ARE Unsp.),PUE-A,"Apparent P recovery efficiency. Use this code if it is unclear whether above-ground biomass or a sub-component (e.g. grain) was used in calculations. Formula for a zero P control = (P.trt - P.cont)/P input, otherwise Formula = (P.Out.trt - P.Out.cont)/(P.Input.trt - P.Input.Cont).",Units can be absent as the outcome is a ratio. The control is often a zero P treatment where no P fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,N,p,Y,Y,FALSE,
234.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Phosphorus Use Efficiency (ARE Product),PUE (ARE Prod),PUE-Ap,"Apparent P recovery efficiency in crop product component (e.g. grain). Formula = (P.treatment - P.control)/P input. Formula for a zero P control = (P.trt - P.cont)/P input, otherwise Formula = (P.Out.trt - P.Out.cont)/(P.Input.trt - P.Input.Cont).",Units can be absent as the outcome is a ratio. The control is often a zero P treatment where no P fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,Y,FALSE,
234.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Phosphorus Use Efficiency (ARE AGB),PUE (ARE AGB),PUE-Aag,"Apparent P recovery efficiency in crop above ground biomass (the whole plant, grain + biomass). Formula for a zero P control = (P.trt - P.cont)/P input, otherwise Formula = (P.Out.trt - P.Out.cont)/(P.Input.trt - P.Input.Cont).",Units can be absent as the outcome is a ratio. The control is often a zero P treatment where no P fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,Y,FALSE,
258,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Phosphorus Agronomic Efficiency,P AE (Prod),PAEp,"The yield change in the crop product component (e.g. grain) of the treatment compared to the control, per unit of phosphorous input. Formula = (Yt -Yc)/P. Also called Agronomic Effectiveness.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,,Y,p,Y,Y,FALSE,
258.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Phosphorus Factor Productivity,P TFP,PTFP,Crop yield divided by amount of phosphorous applied (Yield/P input).,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg grain/kg P,,N,p,N,Y,FALSE,
235,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Potassium Use Efficiency (ARE Unspecified),KUE (ARE Unsp.),KUE-Au,"Apparent K recovery efficiency. Use this code if it is unclear whether above-ground biomass or a sub-component (e.g. grain) was used in calculations. Formula for a zero K control = (K.trt - K.cont)/K input, otherwise Formula = (K.Out.trt - K.Out.cont)/(K.Input.trt - K.Input.Cont).",Units can be absent as the outcome is a ratio. The control is often a zero K treatment where no K fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,N,p,Y,Y,FALSE,
235.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Potassium Use Efficiency (ARE Product),KUE (ARE Prod),KUE-Ap,"Apparent K recovery efficiency in crop product component (e.g. grain). Formula for a zero K control = (K.trt - K.cont)/K input, otherwise Formula = (K.Out.trt - K.Out.cont)/(K.Input.trt - K.Input.Cont). 
",Units can be absent as the outcome is a ratio. The control is often a zero K treatment where no K fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,Y,FALSE,
235.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Potassium Use Efficiency (ARE AGB),KUE (ARE AGB),KUE-Aag,"Apparent K recovery efficiency in crop above ground biomass (the whole plant, grain + biomass). Formula for a zero K control = (K.trt - K.cont)/K input, otherwise Formula = (K.Out.trt - K.Out.cont)/(K.Input.trt - K.Input.Cont).",Units can be absent as the outcome is a ratio. The control is often a zero K treatment where no K fertilizer was added. Note that to compare two the ARE of two different treatments then they must share the same control.,kg/kg,,Y,p,Y,Y,FALSE,
259,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Potassium Agronomic Efficiency,K AE (Prod),KAEp,"The yield change in the crop product component (e.g. grain) of the treatment compared to the control, per unit of potassium input. Formula = (Yt -Yc)/K. Also called Agronomic Effectiveness.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,,Y,p,Y,Y,FALSE,
259.2,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Potassium Factor Productivity,K TFP,KTFP,Crop yield divided by amount of potassium applied (Yield/K input).,"Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg grain/kg K,,N,p,N,Y,FALSE,
257,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Total Factor Productivity,TFP,TFP,"Weight of output (kg) per quantity of input (kg). Can be any input (other than N, P or K individually) and any output.","Units can be absent as the outcome is a ratio. To compare two treatments they should share the same inputs, but have different management (for example).",kg/kg,,N,p,N,Y,FALSE,
267,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Feed Conversion Ratio (Out In),FCR (Out In),FCRoi,Ratio of Weight Gained to Feed Given.,"This outcome relates to animal feed experiments. This is a ratio whose value should be less than 1 (although some aquatic experiment may yield slightly >1 if there are other food resources available in the water, like algae). Units can be absent as the outcome is a ratio.",g/g; kg/kg,,Y,p,N,Y,FALSE,
267.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Feed Conversion Ratio (In Out),FCR (In Out),FCRio,Ratio of Feed Given to Weight Gained.,"This outcome relates to animal feed experiments. It is a ratio whose value should be greater than 1 (although some aquatic experiment may yield slightly <1 if there are other food resources available in the water, like algae). Units can be absent as the outcome is a ratio.",g/g; kg/kg,,Y,n,N,Y,FALSE,
265,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Protein Conversion Ratio (Out In),PCR (Out In),PCRoi,"Ratio of Weight Gained to Protein Given, this is a ratio whose value should be less than 1 (although some aquatic experiment may yield slightly >1 if there are other food resources available in the water, like algae).","This outcome relates to animal feed experiments. It is a ratio whose value should be less than 1 (although some aquatic experiment may yield slightly >1 if there are other food resources available in the water, like algae). Units can be absent as the outcome is a ratio.",g/g; kg/kg,,Y,p,N,Y,FALSE,
265.1,Resilience,Resilience,Efficiency,Ef,Efficiency,Ef,Protein Conversion Ratio (In Out),PCR (In Out),PCRio,"Ratio of Protein Given to Weight Gained, this is a ratio whose value should be greater than 1 (although some aquatic experiment may yield slightly <1 if there are other food resources available in the water, like algae).","This outcome relates to animal feed experiments. It is a ratio whose value should be greater than 1 (although some aquatic experiment may yield slightly <1 if there are other food resources available in the water, like algae). Units can be absent as the outcome is a ratio.",g/g; kg/kg,,Y,n,N,Y,FALSE,
239,Resilience,Resilience,Social,So,Gender Equity,GE,Labour Female,Labour (Female),La-f,"Female labour time per task, season, or unit land.",,person days; person hours; person days/season,,N,n,N,Y,FALSE,
240,Resilience,Resilience,Social,So,Gender Equity,GE,Labour Male,Labour (Male),La-m,"Male labour time per task, season, or unit land.",,person days; person hours; person days/season,,N,n,N,Y,FALSE,
242,Resilience,Resilience,Social,So,Gender Equity,GE,Income Female,Income (Female),In-f,Female income from practice(s).,,USD/ha; USD/person,,N,p,N,Y,FALSE,
243,Resilience,Resilience,Social,So,Gender Equity,GE,Income Male,Income (Male),In-m,Male income from practice(s).,,USD/ha; USD/person,,N,p,N,Y,FALSE,
132,Resilience,Resilience,Social,So,Labour,La,Labour Person Hours,Labour (Person Hours),La-ph,"Labour time per task, season, or unit land (gender is not specified).",,person days; person hours; person days/season,,N,N,N,Y,FALSE,
133,Resilience,Resilience,Social,So,Labour,La,Return to Labour,Returns to Labour,RtL,"Return to Labour or Labour Productivity. This may be expressed as income/day labour, income/area or production/day labour.","Make sure units are carefully recorded and this is not the cost of labour, which should be recorded under Economics: Cost of Labour outcome.",USD/day; USD/ha; kg/day,,Y,p,N,Y,FALSE,
304,Mitigation,Mitigation,Emissions,Em,Emissions,Em,CO2 Equivalent Emissions,CO2 Equivalent,CO2eq,"Emissions over time expressed as CO2 equivalent (e.g. CO2e, CO2eq or CO2-e), often expressed as emissions per area.",Note emissions per unit production should be recorded under Emissions Intensity.,kg/ha/yr; kg/ha,,Y,n,N,Y,FALSE,
305,Mitigation,Mitigation,Emissions,Em,Emissions,Em,Methane Emissions,CH4,CH4,Flux (emissions or consumption) of methane (CH4) over time.,,kg/ha/yr; kg/ha,,Y,n,N,Y,FALSE,
306,Mitigation,Mitigation,Emissions,Em,Emissions,Em,Nitrous Oxide Emissions,NOx,NOx,"Flux (emissions or consumption) of nitrous oxides (NOx, NO or NO2) over time.",,kg/ha/yr; kg/ha,,Y,n,N,Y,FALSE,
307,Mitigation,Mitigation,Emissions,Em,Emissions,Em,Carbon Dioxide Emissions,CO2,CO2,Flux (emissions or consumption)of carbon dioxide (CO2) over time.,,kg/ha/yr; kg/ha; kg/yr,,Y,n,N,Y,FALSE,Carbon dioxide emissions
311,Mitigation,Mitigation,Emissions,Em,Emissions,Em,Emissions Intensity,Emissions Intensity,EI,Emissions per unit of output (e.g. kg CO2 per kg grain). Cumulative emissions relative to production.,Emissions intensity is typically standardized radiative forcing over 100 yr time (CO2eq) for 1 or more gases added together per unit product (kg).,t CO2 eq/t grain/yr,,Y,n,N,Y,FALSE,
308,Mitigation,Mitigation,Carbon Stocks,CS,Carbon Stocks,CS,Soil Carbon Stocks,Soil Carbon Stocks,SCS,Quantity in carbon pool or stock as total carbon and reported on soil profiles of at least 30cm or more.,"Note soil organic carbon or soil organic matter are reported in outcomes under the resilience pillar. Do not record change from baseline here, outcomes should be the value on the sampling date. If change from baseline data are presented consider converting to the values on the sampling date if the baseline line values are available too.",g/kg; %; kg/ha; Mg/ha,,N,p,N,N,FALSE,
309,Mitigation,Mitigation,Carbon Stocks,CS,Carbon Stocks,CS,Aboveground Carbon Biomass,C Stock (Above),CSa,Stock or amount of carbon in above ground biomass.,"Do not record change from baseline here, outcomes should be the value on the sampling date. If change from baseline data are presented consider converting to the values on the sampling date if the baseline line values are available too.",kg/ha; Mg/ha,,N,p,N,Y,FALSE,Aboveground Biomass
310,Mitigation,Mitigation,Carbon Stocks,CS,Carbon Stocks,CS,Belowground Carbon Biomass,C Stock (Below),CSb,Stock or amount of carbon in below ground biomass.,"Do not record change from baseline here, outcomes should be the value on the sampling date. If change from baseline data are presented consider converting to the values on the sampling date if the baseline line values are available too.
This is the amount carbon in soil biomass, if total carbon is presented use the Soil Carbon Stocks outcome.",kg/ha; Mg/ha,,N,p,N,Y,FALSE,
323,Mitigation,Mitigation,Cookstove,Ck,Costs,CkCo,Fuel Use,Fuel Use,FU,Amount of fuel used in a cookstove.,,kg; kg/day,,N,n,N,Y,FALSE,
320,Mitigation,Mitigation,Cookstove,Ck,Fuel Efficiency,FE,Fuel Savings,Fuel Savings,FS,Amount of fuel saved by using a cookstove.,"Note directionality is important here and it should be positive.
Percentages or proportions should indicate fuel saved, so higher values indicate a better outcome.",kg; kg/day; kg/l; %,,N,p,Y,N,FALSE,
321,Mitigation,Mitigation,Cookstove,Ck,Fuel Efficiency,FE,Cooking Time,Cooking Time,CT,Time taken to cook a particular food.,,min; sec,,N,n,N,Y,FALSE,
322,Mitigation,Mitigation,Cookstove,Ck,Fuel Efficiency,FE,Specific Fuel Use,Specific Fuel Use,SFU,Ratio of fuel consumed to food cooked (e.g. kg fuel used/kg food cooked).,Units can be absent as the outcome is a ratio.,kg/kg,,N,n,N,Y,FALSE,
324,Mitigation,Mitigation,Cookstove,Ck,Fuel Efficiency,FE,Cookstove Emissions,Cookstove Emissions,CE,"Emissions of gases (e.g CO) or particulate matter (e.g PM2.5) other than those in the Emissions outcome subpillar (not CO2, Methane, NOx, CO2e).",,mg/m3; mg min; g/kg fuel,,Y,n,N,Y,FALSE,
